University,EV_team_name,link
University of South Australia,WRL-Electric,https://fs-world.org/p2.php?u=490&c=2
Queensland University of Technology,QUT Motorsport,https://tid.fsg.one/621
Monash University (Melbourne),Monash Motorsport,https://tid.fsg.one/910
RMIT University (Melbourne),RMIT Electric Racing,https://tid.fsg.one/687
Swinburne University of Technology,Team Swinburne,https://tid.fsg.one/603
University of Melbourne,WRL-Electric,https://fs-world.org/p2.php?u=304&c=2
University of Western Australia (Perth),Formula REV,https://tid.fsg.one/335
University of Tasmania,WRL-Electric,https://fs-world.org/p2.php?u=495&c=2
University of Wollongong,WRL-Electric,https://fs-world.org/p2.php?u=501&c=2
Fachhochschule Joanneum Graz,Joanneum Racing Graz,https://tid.fsg.one/1234
Technische Universität Graz,TU Graz Racing Team,https://tid.fsg.one/229
Leopold-Franzens-Universität Innsbruck,Campus Tirol Motorsport,https://tid.fsg.one/830
FH Campus Wien,Os.Car Racing Team,https://tid.fsg.one/947
Technische Universität Wien,TU Wien Racing,https://tid.fsg.one/584
Rajshahi University of Engineering & Technology,Annexe Ruet,https://tid.fsg.one/1069
Vrije Universiteit Brussel,VUB Racing,https://tid.fsg.one/871
KU Leuven - Group T Campus,Formula Electric Belgium,https://tid.fsg.one/424
Thomas More Mechelen - De Nayer (Sint-Katelijne-Waver),Thomas More Innovation,https://tid.fsg.one/440
Universidade Estadual de Campinas,Unicamp E-Racing,https://tid.fsg.one/442
Universidade Federal de Santa Catarina,Ampera Racing,https://tid.fsg.one/513
Universidade Federal de Itajubá - Itajubá,Cheetah E-Racing,https://tid.fsg.one/582
Universidade Federal Fluminense - Niterói,Faraday E-Racing,https://tid.fsg.one/1225
Centro Universitário da FEI,Formula FEI Elétrico,https://tid.fsg.one/515
Escola de Engenharia de São Carlos da Universidade de São Paulo,EESC-USP Tupã,https://tid.fsg.one/498
Centro Universitário Facens (Sorocaba),B'Energy Racing,https://tid.fsg.one/499
Simon Fraser University,Team Phantom,https://tid.fsg.one/1188
McMaster University (Hamilton),MAC Formula Electric,https://tid.fsg.one/902
École de Technologie Superieure,Formule ETS,https://tid.fsg.one/1134
École Polytechnique de Montréal,Poly eRacing,https://tid.fsg.one/340
Carleton University,Ravens Racing,https://tid.fsg.one/585
Université Laval (Quebec City),Formule SAE de l'Université Laval,https://tid.fsg.one/640
Université de Sherbrooke,FSAE Sherbrooke,https://tid.fsg.one/577
University of Waterloo,UW Electric Motorsports,https://tid.fsg.one/586
University of Manitoba,Electric Polar Bear Racing,https://tid.fsg.one/569
Beihang University,AERO,https://tid.fsg.one/1018
Beijing Institute of Technology,Beijing Institute of Technology FSAE,https://tid.fsg.one/648
Jilin University (Changchun),Gspeed Electric Racing,https://tid.fsg.one/1033
Central South University - Changsha (Changsha),WRL-Electric,https://fs-world.org/p2.php?u=1213&c=2
Hunan University (Changsha),HNU Electric Racing,https://tid.fsg.one/1110
Guangdong University of Technology (Guangzhou),WRL-Electric,https://fs-world.org/p2.php?u=1206&c=2
South China University of Technology,SCUT E-Racing,https://tid.fsg.one/1246
Hefei University of Technology,HFUT racing team,https://tid.fsg.one/607
Liaoning University of Technology (Jinzhou),Wonder Racing Team of Electricity,https://tid.fsg.one/941
Guangxi Science and Technology University Lushan College,Guangxi Lushan LS Racing,https://tid.fsg.one/709
Tongji University (Shanghai),Tongji DIAN Racing Team,https://tid.fsg.one/516
Hubei University of Automotive Technology,HUATE Racing Team,https://tid.fsg.one/899
Harbin Institute of Technology at Weihai,HIT Racing Team,https://tid.fsg.one/705
Xiamen University of Technology,AMOY Racing club,https://tid.fsg.one/1123
University of Split,xxxxx,https://tid.fsg.one/1267
University of Zagreb,FSB Racing Team,https://tid.fsg.one/920
Brno University of Technology,TU Brno eRacing,https://tid.fsg.one/1116
University of West Bohemia (Plzen),eRacing Team Pilsen,https://tid.fsg.one/1265
Czech Technical University in Prague,eForce FEE Prague Formula,https://tid.fsg.one/394
Technical University of Denmark (Kgs. Lyngby),Vermilion Racing,https://tid.fsg.one/1194
University of Southern Denmark (Odense),SDU-Vikings,https://tid.fsg.one/433
Universidad de las Fuerzas Armadas - ESPE (Latacunga),FESPE-ELECTRIC,https://tid.fsg.one/525
Ain Shams University (Cairo),WRL-Electric,https://fs-world.org/p2.php?u=843&c=2
Cairo University (Giza),Cairo Uni Racing Team,https://tid.fsg.one/1035
German University in Cairo,Bue racing team,https://tid.fsg.one/1271
Tallinn TU UAS,FS Team Tallinn Electric,https://tid.fsg.one/624
Aalto University (Espoo),Aalto Formula Team,https://tid.fsg.one/987
Helsinki Metropolia University of Applied Sciences,Metropolia Motorsport,https://tid.fsg.one/438
ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),EstaCars,https://tid.fsg.one/749
University of Burgundy - ISAT (Nevers),ISAT Formula Team,https://tid.fsg.one/909
EPF Ecole d'ingénieur-e-s Paris (Sceaux),Formula EPF,https://tid.fsg.one/1228
Rheinisch-Westfälische Technische Hochschule Aachen,Ecurie Aix Formula Student Team RWTH Aachen e.V.,https://tid.fsg.one/258
Hochschule Aalen - Technik und Wirtschaft,E-Motion Rennteam Aalen e.V.,https://tid.fsg.one/361
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Running Snail Racing Team,https://tid.fsg.one/511
Hochschule für angewandte Wissenschaften Augsburg,StarkStrom Augsburg,https://tid.fsg.one/339
Universität Bayreuth,Elefant Racing e.V.,https://tid.fsg.one/250
Berlin School of Economics,Combined University Racing Berlin,https://tid.fsg.one/496
Technische Universität Berlin,FaSTTUBe Electric,https://tid.fsg.one/230
Ruhr-Universität Bochum,RUB Motorsport ,https://tid.fsg.one/787
Technische Universität Braunschweig,Lions Racing Team e.V.,https://tid.fsg.one/353
Universität Bremen,Bremergy e.V.,https://tid.fsg.one/423
Technische Universität Chemnitz,T.U.C. Racing e.V.,https://tid.fsg.one/657
Technische Universität Clausthal,Green Voltage Racing,https://tid.fsg.one/347
"Hochschule Darmstadt, UAS",Formula Student Team Darmstadt II,https://tid.fsg.one/468
Technische Universität Darmstadt,TU Darmstadt Racing Team e.V.,https://tid.fsg.one/276
Deggendorf Institute of Technology,Fast Forest,https://tid.fsg.one/247
Fachhochschule für Wirtschaft und Technik,Deefholt Dynamics e.V.,https://tid.fsg.one/259
Technische Universität Dortmund,GET racing Dortmund e.V,https://tid.fsg.one/1174
Technische Universität Dresden,Elbflorace,https://tid.fsg.one/359
Universität Duisburg-Essen,E-Team Duisburg-Essen,https://tid.fsg.one/352
Hochschule Düsseldorf,e-Traxx Düsseldorf,https://tid.fsg.one/617
Friedrich-Alexander-Universität Erlangen-Nürnberg,High-Voltage Motorsports,https://tid.fsg.one/274
Hochschule Esslingen,E.Stall Esslingen,https://tid.fsg.one/422
Technische Universität Bergakademie Freiberg,Racetech Racing Team e.V.,https://tid.fsg.one/426
Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,Blue Flash ,https://tid.fsg.one/675
Helmut Schmidt Universität / Universität der Bundeswehr Hamburg,Eleven-O-Six Racing Team,https://tid.fsg.one/558
Technische Universität Hamburg-Harburg,e-gnition Hamburg,https://tid.fsg.one/414
Leibniz Universität Hannover,HorsePower Hannover e.V.,https://tid.fsg.one/348
Hochschule Heilbronn,HHN Racing e.V.,https://tid.fsg.one/865
Hochschule für Angewandte Wissenschaften Hof,HofSpannung Motorsport e.V.,https://tid.fsg.one/520
Technische Universität Ilmenau,Team Starcraft e.V.,https://tid.fsg.one/379
Technische Hochschule Ingolstadt,Schanzer Racing Electric e.V.,https://tid.fsg.one/342
Technische Universität Kaiserslautern,Kaiserslautern Racing Team,https://tid.fsg.one/435
Hochschule Karlsruhe - Technik und Wirtschaft,High Speed Karlsruhe,https://tid.fsg.one/266
Karlsruhe Institute of Technology,KA-RaceIng Electric,https://tid.fsg.one/254
Universität Kassel,Herkules Racing Team Kassel,https://tid.fsg.one/861
UAS Kempten,Infinity Racing - Rennteam der Hochschule Kempten e.V ,https://tid.fsg.one/1277
Fachhochschule Kiel,Raceyard E,https://tid.fsg.one/337
Rhein-Waal University of Applied Sciences,Rhein-Waal Racing,https://tid.fsg.one/644
Technische Hochschule Köln,eMotorsports Cologne,https://tid.fsg.one/243
Universität zu Köln,Aurigas Electricus Coloniae,https://tid.fsg.one/476
Fachhochschule Konstanz,Bodensee Racing Team,https://tid.fsg.one/1085
Hochschule Niederrhein (Krefeld),HSNR Racing,https://tid.fsg.one/618
Hochschule Landshut,LA eRacing e.V.,https://tid.fsg.one/327
Technische Hochschule Ostwestfalen-Lippe (Lemgo),OWL Racing-Team,https://tid.fsg.one/990
Otto-von-Guericke-Universität Magdeburg,UMD Racing e.V.,https://tid.fsg.one/1278
Duale Hochschule Baden-Württemberg - Mannheim,CURE ,https://tid.fsg.one/597
Hochschule Mannheim,Delta Racing,https://tid.fsg.one/436
Hochschule für Technik und Wirtschaft Mittweida,Technikum Mittweida Motorsport,https://tid.fsg.one/758
Duale Hochschule Baden-Württemberg Mosbach,mosTEC.racing,https://tid.fsg.one/264
Hochschule Ruhr West - UAS (Mülheim a.d.R.),eMOTION RACING HRW,https://tid.fsg.one/628
Fachhochschule München,municHMotorsport,https://tid.fsg.one/255
Technical University of Munich,TUfast Racing Team e-Technology,https://tid.fsg.one/336
Universität der Bundeswehr München,ATHENE RacingTeam,https://tid.fsg.one/486
Georg-Simon-Ohm-Hochschule Nürnberg,Strohm + Söhne e.V.,https://tid.fsg.one/378
Hochschule Offenburg,Black Forest Formula Team,https://tid.fsg.one/1066
Fachhochschule Osnabrück,IRT electric,https://tid.fsg.one/390
Universität Paderborn,UPBracing Team E e.V.,https://tid.fsg.one/1084
Hochschule Pforzheim,Rennschmiede Pforzheim e.V.,https://tid.fsg.one/1074
Duale Hochschule Baden-Württemberg Ravensburg,Global Formula Racing (DE),https://tid.fsg.one/384
Ostbayerische Technische Hochschule Regensburg,Dynamics e.V.,https://tid.fsg.one/324
Saarland University (Saarbrücken),Evolution Racing Team Saar,https://tid.fsg.one/419
Hochschule Bonn-Rhein-Sieg (Sankt Augustin),BRS Motorsport ,https://tid.fsg.one/519
FH Schmalkalden,Rennsteig-Motorsport e.V.,https://tid.fsg.one/277
UAS Würzburg-Schweinfurt,Mainfranken Racing,https://tid.fsg.one/979
Universität Siegen,Speeding Scientists Siegen e.V.,https://tid.fsg.one/246
Fachhochschule Stralsund,Short Circuit Racing,https://tid.fsg.one/237
Duale Hochschule Baden-Württemberg Stuttgart,DHBW Engineering Stuttgart e.V.,https://tid.fsg.one/434
Universität Stuttgart,GreenTeam Uni Stuttgart,https://tid.fsg.one/224
Fachhochschule Ulm,Einstein Motorsport ,https://tid.fsg.one/1147
University of Applied Sciences Ravensburg-Weingarten,Formula Student Team Weingarten Electric,https://tid.fsg.one/1201
Hochschule RheinMain (Wiesbaden),Scuderia Mensa HS RheinMain Racing,https://tid.fsg.one/349
Jade Hochschule (Wilhelmshaven),Racing Revolution,https://tid.fsg.one/232
Ostfalia University of Applied Sciences (Wolfenbüttel),Team wob-racing.,https://tid.fsg.one/343
Bergische Universität Wuppertal,GreenLion Racing Electric,https://tid.fsg.one/388
Westsächsische Hochschule Zwickau,WHZ Racing Team,https://tid.fsg.one/234
National Technical University of Athens,Prom Racing ,https://tid.fsg.one/1081
University of Patras,UoP Racing,https://tid.fsg.one/420
Aristotle University of Thessaloniki,Aristotle University Racing Team Electric,https://tid.fsg.one/738
Democritus University of Thrace (Xanthi),Democritus Racing Team,https://tid.fsg.one/1230
Budapest University of Technology and Economics,BME Formula Racing Team (FSE),https://tid.fsg.one/395
University of Pécs,Sopiana-e Motorsport,https://tid.fsg.one/1037
University of Iceland (Reykjavík),Team Spark,https://tid.fsg.one/703
PES Institute of Technology (Bangalore),Team Vidyuth,https://tid.fsg.one/299
PES University (Bangalore),Vega Racing Electric,https://tid.fsg.one/1080
R.V.College of Engineering (Bangalore),Team Chimera,https://tid.fsg.one/942
Ramaiah Institute of Technology,Stier Racing,https://tid.fsg.one/1004
Visvesvaraya Technological University,ASHWA RACING ELECTRIC,https://tid.fsg.one/1060
Gogte Institute of Technology (Belgaum),G-Tron,https://tid.fsg.one/973
Kalinga Institute of Industrial Technology (Bhubaneswar),SKYLINE RACING,https://tid.fsg.one/943
Chandigarh Engineering College,CHANDIGARH LOINS MOTORS,https://tid.fsg.one/1142
Panjab University,PU Power Racing,https://tid.fsg.one/1139
Indian Institute of Technology Madras (Chennai),Raftar Formula Racing Electric,https://tid.fsg.one/753
RMK Engineering College (Chennai),VALOROUS LINE-UP,https://tid.fsg.one/946
Sri Sairam Engineering College,Smokin' Axles,https://tid.fsg.one/949
SRM Institute of Science and Technology - Kattankulathur (Chennai),4ze Racing,https://tid.fsg.one/560
Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,FF Motorsports,https://tid.fsg.one/1233
VIT University - Chennai,VITC Formula Electric,https://tid.fsg.one/988
PSG College of Technology (Coimbatore),VELOCITA E- RACING ,https://tid.fsg.one/1148
Delhi Technological University,Team Hertz Electric,https://tid.fsg.one/680
Manipal Academy of Higher Education,Formula Manipal Electric,https://tid.fsg.one/805
Don Bosco Institute of Technology,EVolution Racing,https://tid.fsg.one/253
Dwarkadas. J. Sanghvi College of Engineering (Mumbai),DJS Racing Electric,https://tid.fsg.one/813
Indian Institute of Technology Bombay (Mumbai),IIT Bombay Racing Team,https://tid.fsg.one/528
K. J. Somaiya College of Engineering (Mumbai),Orion Racing India,https://tid.fsg.one/904
Rajiv Gandhi Institute of Technology - Mumbai,Team RGIT Racing Electric,https://tid.fsg.one/1187
"Sardar Patel College of Engineering, Mumbai (Mumbai)",SPCE Racing,https://tid.fsg.one/1146
Thakur College of Engineering and Technology (Mumbai),MAVERICKS RACING,https://tid.fsg.one/1190
Sandip University,Sandip University,https://tid.fsg.one/1266
Pillai College Of Engineering (Navi Mumbai),Spark Racing Team,https://tid.fsg.one/1025
Indian Institute of Technology Delhi,Axlr8r Formula Racing,https://tid.fsg.one/724
Jamia Millia Islamia,Team Alpha 4ZE,https://tid.fsg.one/1150
University of Delhi,DU riders,https://tid.fsg.one/1141
"J.S.S. Academy of Technical Education, Noida",Team Octavius Motorsports,https://tid.fsg.one/959
"Birla Institute of Technology & Science , Pilani",Inspired Karters Electric,https://tid.fsg.one/1204
Indian Institute of Technology Goa,IIT Goa Motorsports,https://tid.fsg.one/1030
College of Engineering Pune,Team Octane Racing Electric,https://tid.fsg.one/1057
"D.Y. Patil School of Engineering Academy, Ambi (Pune)",Team Revolution,https://tid.fsg.one/714
Dr. D. Y. Patil Institute Of Engineering and Technology (Pune),The Interceptors,https://tid.fsg.one/1096
Pimpri Chinchwad College Of Engineering (Pune),Team Kratos Racing Electric,https://tid.fsg.one/957
RMD Sinhgad School of Engineering,TEAM E-BOOSTERS,https://tid.fsg.one/1015
Savitribai Phule Pune University,Team Brahmastra FS,https://tid.fsg.one/1195
Smt. Kashibai Navale College of Engineering (Pune),STES's Stallion Motorsport Electric,https://tid.fsg.one/1047
Vishwakarma Institute of Technology (Pune),Veloce Racing Electric,https://tid.fsg.one/1256
"Birla Institute of Technology, Mesra",Team Srijan Electric,https://tid.fsg.one/1132
Indian Institute of Technology Roorkee,IIT Roorkee Motorsports,https://tid.fsg.one/972
National Institute of Technology - Rourkela,Team Roadrunner Electric,https://tid.fsg.one/1189
"A.P. Shah Institute of Technology, Thane",Modified Auto Club Racing,https://tid.fsg.one/1220
VIT University - Vellore,Team Ojas,https://tid.fsg.one/556
National Institute of Technology - Warangal,Ronin Racing,https://tid.fsg.one/1090
Islamic University of Indonesia (Sleman),Ulil Albab Student Center,https://tid.fsg.one/804
Sepuluh Nopember Institute of Technology,WRL-Electric,https://fs-world.org/p2.php?u=912&c=2
Gadjah Mada University,Arjuna EV,https://tid.fsg.one/1210
Islamic Azad University of Karaj,savior racer,https://tid.fsg.one/484
Sharif University of Technology,eAria Motorsport,https://tid.fsg.one/271
Ben-Gurion University of the Negev (Be'er Sheva),Ben-Gurion Racing,https://tid.fsg.one/748
Technion - Israel Institute of Technology,Formula Technion EV,https://tid.fsg.one/1153
Politecnico di Bari,fse,https://tid.fsg.one/578
Alma Mater Studiorum - Università di Bologna,UniBo Motorsport Electric,https://tid.fsg.one/1024
Università degli Studi di Cassino e del Lazio Meridionale,Scuderia Unicas,https://tid.fsg.one/1275
Politecnico di Milano,Dynamis PRC,https://tid.fsg.one/1091
Università degli Studi di Napoli Federico II,UniNa Corse E-Team,https://tid.fsg.one/1051
Università degli studi di Padova,Race UP Electric,https://tid.fsg.one/708
Università degli Studi di Parma,UniPR Racing Team,https://tid.fsg.one/925
"Università degli Studi di Roma ""La Sapienza""",Fast Charge,https://tid.fsg.one/518
Università degli Studi di Trento,E-Agle Trento Racing Team,https://tid.fsg.one/872
Università degli studi di Trieste,UniTS Racing Team,https://tid.fsg.one/1263
Politecnico di Torino,Squadra Corse PoliTo,https://tid.fsg.one/444
Kanagawa Institute of Technology,KAIT Racing,https://tid.fsg.one/563
Shizuoka Institute of Science and Technology,WRL-Electric,https://fs-world.org/p2.php?u=368&c=2
Iwate University,WRL-Electric,https://fs-world.org/p2.php?u=1039&c=2
Niigata Institute of Technology,WRL-Electric,https://fs-world.org/p2.php?u=846&c=2
Seikei University,WRL-Electric,https://fs-world.org/p2.php?u=364&c=2
Daido Institute of Technology,WRL-Electric,https://fs-world.org/p2.php?u=230&c=2
Nagoya University,WRL-Electric,https://fs-world.org/p2.php?u=345&c=2
Toyota Technical College Nagoya,WRL-Electric,https://fs-world.org/p2.php?u=398&c=2
Tohoku University,WRL-Electric,https://fs-world.org/p2.php?u=848&c=2
Kyushu Institute of Technology,WRL-Electric,https://fs-world.org/p2.php?u=283&c=2
Toyohashi University of Technology,TUT-Formula,https://tid.fsg.one/1217
Kanagawa University,WRL-Electric,https://fs-world.org/p2.php?u=1117&c=2
Vilnius Gediminas Technical University,VGTU Formula Student Racing team,https://tid.fsg.one/700
Tecnológico de Monterrey (ITESM) - Santa Fe,TM Racing Team,https://tid.fsg.one/1208
Université Abdelmalek Essaadi (Tétouan),Reaction,https://tid.fsg.one/1224
The Hague University of Applied Sciences (Delft),Formula Cruisers,https://tid.fsg.one/741
TU Delft,Formula Student Team Delft,https://tid.fsg.one/285
Technische Universiteit Eindhoven,University Racing Eindhoven,https://tid.fsg.one/256
Hanze University of Applied Sciences Groningen,Hanze Racing Division,https://tid.fsg.one/995
Zuyd University of Applied Sciences (Heerlen),Fuze,https://tid.fsg.one/918
Fontys University of Applied Sciences Campus Venlo,Fontys Venlo,https://tid.fsg.one/778
University of Canterbury (Christchurch),University of Canterbury Motorsport,https://tid.fsg.one/792
University of Stavanger,ION Racing,https://tid.fsg.one/751
Norwegian University of Science and Technology,Revolve NTNU,https://tid.fsg.one/611
National University of Sciences and Technology - Karachi,Formula Electric Racing-NUST,https://tid.fsg.one/643
Silesian University of Technology (Gliwice),PolSl eRacing,https://tid.fsg.one/1254
AGH University of Science and Technology,AGH Racing Electric,https://tid.fsg.one/937
Poznan University of Technology,PUT Motorsport Electric,https://tid.fsg.one/1103
Warsaw University of Technology,Proton Dynamic,https://tid.fsg.one/980
Wroclaw University of Technology,PWR Racing Team Electric,https://tid.fsg.one/1258
Instituto Superior de Engenharia de Coimbra,PHISEC Racing,https://tid.fsg.one/1274
Instituto Superior de Engenharia de Lisboa,ISEL Formula Student,https://tid.fsg.one/881
Universidade de Lisboa - Instituto Superior Técnico,FST Lisboa,https://tid.fsg.one/320
Texas A&M University at Qatar (Doha),TAMUQrex,https://tid.fsg.one/917
Universitatea Transilvania din Braşov,Electric Kronstadt,https://tid.fsg.one/293
Technical University of Cluj-Napoca,ART TU Cluj-Napoca,https://tid.fsg.one/1255
Belgorod state technological university named after V. G. Shukhov,SRT Electric,https://tid.fsg.one/1029
South Ural State University,FS SUSU,https://tid.fsg.one/1276
Ural State University of Railway Transport,USURT electric,https://tid.fsg.one/1249
Bauman Moscow State Technical University,Bauman Racing Team,https://tid.fsg.one/1247
Moscow State Automobile & Road Technical University - MADI,Formula Electric MADI,https://tid.fsg.one/543
National Research University - Moscow Power Engineering Institute (Moscow),MPEI Racing ,https://tid.fsg.one/1203
Skolkovo Institute of Science and Technology (Moscow),FS Skoltech,https://tid.fsg.one/1136
Togliatti State University,Togliatti Racing Team EV,https://tid.fsg.one/1273
University of Belgrade (Универзитет у Београду),Road Arrow Electric Team,https://tid.fsg.one/1143
Slovak University of Technology in Bratislava,STUBA Green Team,https://tid.fsg.one/228
University of Ljubljana,Superior Engineering FS Ljubljana,https://tid.fsg.one/873
Nelson Mandela Metropolitan University (Port Elizabeth),NMMU Racing,https://tid.fsg.one/544
Yeungnam University College,CMDM Racing,https://tid.fsg.one/530
University of Ulsan,TeamEKT,https://tid.fsg.one/350
Mondragon Unibertsitatea (Arrasate),eMUF,https://tid.fsg.one/1114
Escola d'Enginyeria de Barcelona Est. EEBE,e-Tech Racing,https://tid.fsg.one/791
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,BCN eMotorsport,https://tid.fsg.one/365
University of the Basque Country,Formula Student Bizkaia,https://tid.fsg.one/412
Universidad de Castilla-La Mancha,Toletvm Electric Racing,https://tid.fsg.one/832
Universitat de Girona,UdG Racing Team,https://tid.fsg.one/815
University Carlos III of Madrid (Leganés),eMAD Formula Team,https://tid.fsg.one/1100
Universidad Politécnica de Madrid (UPM),UPM Racing,https://tid.fsg.one/376
Universidad Pontificia Comillas (Madrid),ISC Formula Student Racing Team,https://tid.fsg.one/983
Universidad de Oviedo,ImpulsEracing Formula Student Team,https://tid.fsg.one/716
University of Cadiz (Puerto Real),Formula Gades E,https://tid.fsg.one/1257
University of La Laguna,FSULL-Dynamics,https://tid.fsg.one/1125
TECNUN - University of Navarra (San Sebastián),Tecnun eRacing,https://tid.fsg.one/391
University of Seville,ARUSe,https://tid.fsg.one/875
"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa (UPC)",UPC ecoRacing,https://tid.fsg.one/322
Universitat de Vic - Universitat Central de Catalunya,UTRON Racing Team,https://tid.fsg.one/1073
Vitoria-University of the Basque Country,FS Vitoria,https://tid.fsg.one/1055
University of Moratuwa,Falcon E Racing ,https://tid.fsg.one/888
Chalmers University of Technology (Göteborg),Chalmers Formula Student,https://tid.fsg.one/647
Karlstad University,Clear River Racing,https://tid.fsg.one/1200
Linköping University,LiU Formula Student,https://tid.fsg.one/1219
Lund University,Lund Formula Student,https://tid.fsg.one/1049
KTH Royal Institute of Technology (Stockholm),KTH Formula Student,https://tid.fsg.one/249
Bern University of Applied Sciences,Bern Formula Student,https://tid.fsg.one/664
École Polytechnique Fédérale de Lausanne,EPFL Racing Team,https://tid.fsg.one/976
Zürcher Hochschule für Angewandte Wissenschaften,Formula Student ZHAW,https://tid.fsg.one/1094
ETH Zürich,AMZ Racing Team,https://tid.fsg.one/248
National Tsing Hua University (Hsinchu),NTHU RACING,https://tid.fsg.one/1231
National Cheng Kung University,WRL-Electric,https://fs-world.org/p2.php?u=1274&c=2
National Taipei University of Technology,WRL-Electric,https://fs-world.org/p2.php?u=1044&c=2
Middle East Technical University (Ankara),METU Formula E-Racing,https://tid.fsg.one/1212
Fırat University (Elazığ),FIRAT RACING,https://tid.fsg.one/727
Istanbul Technical University,Beelectric,https://tid.fsg.one/900
Yıldız Technical University (Istanbul),YTU Racing,https://tid.fsg.one/1022
Erciyes University (Kayseri),ERURacing,https://tid.fsg.one/1027
University of Kocaeli,KOU Racing,https://tid.fsg.one/1205
Odessa Polytechnic National State University,Formula Electric ONPU,https://tid.fsg.one/1264
Khalifa University (Abu Dhabi),abu dhabi car group,https://tid.fsg.one/1118
University of Bath,Team Bath Racing Electric,https://tid.fsg.one/886
University of Bristol,WRL-Electric,https://fs-world.org/p2.php?u=1028&c=2
Coventry University,Pheonix Racing,https://tid.fsg.one/630
University of Strathclyde (Glasgow),University of Strathclyde Motorsport,https://tid.fsg.one/1202
University of Surrey (Guildford),Team SURTES,https://tid.fsg.one/808
University Of Hertfordshire (Hatfield),University of Hertfordshire,https://tid.fsg.one/257
Kingston University,KU Motorsports,https://tid.fsg.one/721
University of Leicester,WRL-Electric,https://fs-world.org/p2.php?u=956&c=2
Liverpool John Moores University,LJMU e-Racing Team,https://tid.fsg.one/1017
Imperial College London,Imperial Formula Racing,https://tid.fsg.one/1109
Loughborough University,LUMotorsport,https://tid.fsg.one/1097
Newcastle University,WRL-Electric,https://fs-world.org/p2.php?u=348&c=2
Oxford Brookes University,Oxford Brookes Racing,https://tid.fsg.one/290
University of Southampton,SUFST,https://tid.fsg.one/1269
Brunel University London (Uxbridge),Brunel Racing Electric,https://tid.fsg.one/1041
University of Texas at Arlington,UTA Racing,https://tid.fsg.one/699
University of North Carolina at Asheville,WRL-Electric,https://fs-world.org/p2.php?u=1070&c=2
Auburn University,War Eagle Motorsports,https://tid.fsg.one/765
University of Texas at Austin,Longhorn Racing Electric,https://tid.fsg.one/1185
Virginia Polytechnic Institute and State University,WRL-Electric,https://fs-world.org/p2.php?u=508&c=2
University of Missouri,Mizzou Eco Racing,https://tid.fsg.one/1161
Oregon State University (Corvallis),Global-Formula-Racing (US),https://tid.fsg.one/385
University of California Davis,WRL-Electric,https://fs-world.org/p2.php?u=412&c=2
The University of Michigan-Dearborn,The University of Michigan Dearborn Formula SAE Electric Racing Team,https://tid.fsg.one/363
University of Iowa,WRL-Electric,https://fs-world.org/p2.php?u=478&c=2
University of California Irvine,Anteater Racing,https://tid.fsg.one/1156
Kennesaw State University,WRL-Electric,https://fs-world.org/p2.php?u=374&c=2
University of Kansas (Lawrence),Jayhawk Motorsports,https://tid.fsg.one/661
Olin College of Engineering (Needham),WRL-Electric,https://fs-world.org/p2.php?u=1071&c=2
California Institute of Technology,WRL-Electric,https://fs-world.org/p2.php?u=1202&c=2
University of Pennsylvania,Penn Electric Racing,https://tid.fsg.one/568
Carnegie Mellon University,Carnegie Mellon Racing,https://tid.fsg.one/1196
"University of California, Riverside",WRL-Electric,https://fs-world.org/p2.php?u=572&c=2
University of Utah,WRL-Electric,https://fs-world.org/p2.php?u=499&c=2
University of Texas at San Antonio,WRL-Electric,https://fs-world.org/p2.php?u=444&c=2
San Diego State University,WRL-Electric,https://fs-world.org/p2.php?u=342&c=2
San José State University,Spartan Racing Electric,https://tid.fsg.one/692
California State Polytechnic University - San Luis Obispo,Cal Poly Racing,https://tid.fsg.one/573
University of California - Santa Cruz,WRL-Electric,https://fs-world.org/p2.php?u=1269&c=2
University of Washington (Seattle),UW Formula Motorsports,https://tid.fsg.one/542
